subject,scenario,base,adjusted_by,unit,per,correlation
core,neutral,wins,opponent,offense,drive,0.28355194028779374
core,any,wins,none,offense,drive,0.2834490879386296
any,neutral,success,opponent,offense,drive,0.28321422833408794
core,any,wins,opponent,offense,drive,0.2829617188956793
rushing,any,wins,opponent,differential,drive,0.2827751593085735
rushing,any,points,opponent,differential,play,0.2818941788634244
rushing,any,wins,none,differential,drive,0.2818533458568618
passing,any,wins,opponent,differential,drive,0.2814783389538893
core,any,wins,none,offense,play,0.2812287752395219
any,any,wins,opponent,offense,play,0.2805190350253382
passing,any,wins,none,differential,drive,0.27996640664130296
any,any,wins,none,offense,play,0.2785140190340044
passing,any,wins,none,offense,play,0.2774399101133414
rushing,any,series_conversions,opponent,offense,game,0.27653540788120456
passing,any,wins,opponent,offense,drive,0.27640482626810586
passing,any,wins,opponent,offense,play,0.27609497002427663
rushing,any,wins,opponent,defense,drive,0.27609378601710055
passing,any,wins,none,offense,drive,0.2754018061541511
rushing,any,series_conversions,opponent,differential,drive,0.2750954120064274
rushing,any,points,none,differential,play,0.27456714665835846
rushing,any,wins,none,defense,drive,0.2743549387509539
rushing,any,series_conversions,none,differential,drive,0.2741506054478797
passing,any,points,opponent,differential,game,0.27298302918477674
core,any,series_conversions,none,differential,drive,0.27187184791173263
any,neutral,success,none,differential,drive,0.27129957496947726
rushing,any,points,opponent,offense,play,0.27046296484777194
passing,neutral,yards,opponent,offense,drive,0.2695451870174139
rushing,any,wins,none,offense,play,0.2694229515618003
passing,neutral,points,none,offense,drive,0.2693274425173401
core,any,series_conversions,none,differential,game,0.2690347108501528
passing,any,points,none,differential,game,0.2690273594677094
passing,any,points,opponent,differential,drive,0.2689860511988378
rushing,any,wins,opponent,offense,play,0.2668661193216058
passing,any,points,none,differential,drive,0.2668132941789249
passing,neutral,yards,none,offense,drive,0.26642868289694327
any,neutral,success,opponent,differential,play,0.2664131936282618
any,any,series_conversions,opponent,offense,drive,0.2664062799443498
core,neutral,success,opponent,differential,game,0.2662059262775985
any,neutral,series_conversions,none,differential,game,0.26530865577345686
rushing,any,series_conversions,none,offense,game,0.26519992339265525
core,neutral,success,opponent,differential,drive,0.26452702455033406
any,neutral,success,none,differential,game,0.26390290111788733
core,any,series_conversions,opponent,differential,drive,0.2590176070674998
rushing,any,series_conversions,none,differential,game,0.25901274120219653
rushing,any,series_conversions,opponent,differential,game,0.2577943376747317
any,neutral,series_conversions,opponent,differential,game,0.25546378559049027
core,any,series_conversions,opponent,differential,game,0.25496908081780084
passing,any,turnovers,opponent,defense,drive,0.25298542160094517
any,any,series_conversions,none,offense,drive,0.25242915311635294
passing,any,turnovers,none,defense,drive,0.2515641964246908
passing,any,turnovers,none,defense,game,0.2486045811390856
passing,neutral,points,opponent,differential,game,0.24816670440197613
passing,neutral,points,none,differential,game,0.2481230172083746
passing,neutral,points,none,differential,drive,0.24784413978854425
any,neutral,series_conversions,none,differential,drive,0.24716237636212146
rushing,neutral,points,none,offense,play,0.24682689371449082
passing,neutral,points,opponent,differential,play,0.2465586478310604
passing,any,turnovers,opponent,defense,game,0.24578605406562623
core,neutral,series_conversions,none,differential,game,0.2457307084797198
passing,neutral,points,opponent,differential,drive,0.24547877009451075
passing,neutral,points,none,differential,play,0.24457814392096378
core,any,series_conversions,opponent,offense,drive,0.24327734454851907
any,neutral,success,opponent,differential,drive,0.24259400594247227
passing,any,turnovers,opponent,defense,play,0.2424889612346989
any,neutral,success,opponent,differential,game,0.24162997005401554
passing,any,turnovers,none,defense,play,0.23972964646225414
passing,neutral,series_conversions,none,differential,game,0.23901885240147552
passing,neutral,series_conversions,opponent,differential,game,0.23808388951507337
passing,any,series_conversions,none,offense,game,0.23727079728190936
rushing,any,series_conversions,opponent,offense,drive,0.23695294301648864
any,neutral,yards,opponent,offense,drive,0.23416645258707003
any,neutral,series_conversions,opponent,differential,drive,0.2340101512702518
core,neutral,series_conversions,opponent,differential,game,0.2334408384505101
any,neutral,yards,none,offense,drive,0.23231439873836418
core,neutral,yards,opponent,offense,drive,0.23088614217456277
rushing,neutral,points,opponent,offense,play,0.2301921602179127
passing,any,series_conversions,opponent,offense,game,0.23017848869174595
rushing,any,epa,none,offense,drive,0.2301710330634407
core,any,series_conversions,none,offense,drive,0.22925615024225054
rushing,any,epa,none,offense,play,0.22925148109110016
core,neutral,yards,none,offense,drive,0.22819060179108513
rushing,any,epa,none,offense,game,0.22762981354188838
rushing,neutral,points,none,offense,drive,0.22524200831816693
rushing,any,yards,opponent,differential,drive,0.22269359910066122
core,neutral,series_conversions,none,differential,drive,0.22169469653677296
rushing,any,series_conversions,none,offense,drive,0.2211513280243421
rushing,any,yards,none,differential,drive,0.22110754626292145
rushing,neutral,points,none,offense,game,0.22082789440601294
rushing,neutral,points,opponent,offense,drive,0.2188004030102868
passing,neutral,series_conversions,none,differential,drive,0.21707389444694572
rushing,any,success,none,offense,game,0.21467892179920575
rushing,any,success,none,offense,drive,0.2140565121204071
rushing,any,success,none,offense,play,0.20927335186906706
rushing,neutral,points,opponent,offense,game,0.20820795566713218
rushing,neutral,epa,none,offense,drive,0.20797349705620496
passing,neutral,turnovers,none,defense,play,0.20748404160610392
rushing,neutral,epa,none,offense,game,0.20659621727083727
core,neutral,series_conversions,opponent,differential,drive,0.20583946598163766
